Time,Etalon,Fcn1 (0.0054 -> 0.0081),Fcn1 (0.0054 -> 0.0102),Fcn17 (0.027 -> 0.0405),Fcn17 (0.027 -> 0.054),Fcn7 (0.025 -> 0.0375),Fcn7 (0.025 -> 0.05),Fcn9 (0.45 -> 0.625),Fcn9 (0.45 -> 0.90),Fcn11 (0.015 -> 0.0225),Fcn11 (0.015 -> 0.030),Fcn14 (0.306 -> 0.459),Fcn14 (0.306 -> 0.612)
0.538,58.92293079,59.05830268,59.15095252,58.92242687,58.91726039,63.15187043,67.63247487,56.30994443,40.67886488,56.78945862,54.54004932,46.05028631,47.0529849
0.54,58.8293787,58.96583958,59.05928147,58.82889898,58.82391436,63.03958371,67.50076791,56.39776278,40.93492959,56.70980531,54.47504937,45.83795876,46.73590221
0.542,58.73514865,58.8726827,58.96690528,58.73469199,58.7298829,62.92670114,67.36853383,56.48355645,41.18816948,56.62938351,54.40918551,45.62660805,46.42057938
0.544,58.64025078,58.77884229,58.87383432,58.63981606,58.6351764,62.81323251,67.23578282,56.56734326,41.4386055,56.54820393,54.34246907,45.41622971,46.10700746
0.546,58.54469511,58.68432854,58.78007887,58.54428128,58.53980515,62.69918757,67.10252494,56.6491409,41.68625849,56.46627718,54.27491129,45.20681928,45.79517752
0.548,58.4484916,58.58915152,58.68564911,58.44809766,58.44377936,62.58457594,66.96877011,56.72896696,41.93114913,56.3836138,54.20652331,44.9983723,45.48508071
0.55,58.3516501,58.49332124,58.59055513,58.35127509,58.34710911,62.46940715,66.83452816,56.80683887,42.17329798,56.30022422,54.13731616,44.79088436,45.17670818
0.552,58.25418036,58.3968476,58.49480694,58.25382338,58.24980442,62.35369065,66.69980881,56.88277394,42.41272543,56.21611878,54.06730079,44.58435105,44.87005116
0.554,58.15609208,58.29974041,58.39841445,58.15575226,58.15187519,62.2374358,66.56462165,56.95678937,42.64945177,56.13130772,53.99648804,44.37876798,44.56510091
0.556,58.05739484,58.20200939,58.30138747,58.05707135,58.05333121,62.12065188,66.42897617,57.02890221,42.88349711,56.04580121,53.92488868,44.17413081,44.26184871
0.558,57.95809814,58.10366418,58.20373575,57.9577902,57.95418221,62.00334806,66.29288175,57.09912938,43.11488145,55.9596093,53.85251335,43.97043518,43.96028593
0.56,57.85821139,58.00471433,58.10546892,57.85791826,57.85443779,61.88553344,66.15634765,57.16748771,43.34362465,55.87274198,53.77937261,43.76767677,43.66040393
0.562,57.75774393,57.9051693,58.00659654,57.75746489,57.75410749,61.76721704,66.01938305,57.23399388,43.56974644,55.78520913,53.70547695,43.56585127,43.36219415
0.564,57.656705,57.80503847,57.90712808,57.65643938,57.65320074,61.64840777,65.881997,57.29866444,43.7932664,55.69702054,53.63083673,43.36495441,43.06564805
0.566,57.55510376,57.70433112,57.80707292,57.55485091,57.55172687,61.52911447,65.74419846,57.36151583,44.01420399,55.60818593,53.55546225,43.16498192,42.77075715
0.568,57.45294929,57.60305647,57.70644037,57.45270859,57.44969514,61.4093459,65.60599629,57.42256438,44.23257853,55.51871491,53.47936369,42.96592956,42.47751299
0.57,57.35025057,57.50122363,57.60523963,57.35002145,57.34711471,61.28911074,65.46739924,57.48182628,44.44840921,55.42861703,53.40255117,42.76779309,42.18590717
0.572,57.24701653,57.39884164,57.50347983,57.24679842,57.24399465,61.16841757,65.32841598,57.5393176,44.6617151,55.33790172,53.3250347,42.57056832,41.89593131
0.574,57.14325598,57.29591946,57.40117003,57.14304836,57.14034395,61.04727491,65.18905507,57.59505431,44.87251512,55.24657836,53.24682419,42.37425106,41.6075771
0.576,57.03897767,57.19246596,57.29831917,57.03878005,57.0361715,60.92569117,65.04932497,57.64905225,45.08082808,55.15465622,53.1679295,42.17883714,41.32083624
0.578,56.93419028,57.08848993,57.19493614,56.93400216,56.93148611,60.80367472,64.90923406,57.70132713,45.28667266,55.06214449,53.08836037,41.98432241,41.03570048
0.58,56.82890239,56.98400008,57.09102975,56.82872332,56.82629652,60.6812338,64.76879062,57.75189457,45.4900674,54.9690523,53.00812647,41.79070274,40.75216163
0.582,56.72312251,56.87900504,56.9866087,56.72295205,56.72061136,60.55837663,64.62800284,57.80077005,45.69103072,54.87538866,52.92723737,41.59797403,40.47021152
0.584,56.61685906,56.77351337,56.88168164,56.6166968,56.6144392,60.43511129,64.4868788,57.84796895,45.88958092,54.78116252,52.84570256,41.40613218,40.18984202
0.586,56.5101204,56.66753352,56.77625711,56.50996594,56.5077885,60.31144584,64.34542653,57.89350654,46.08573617,54.68638275,52.76353144,41.21517312,39.91104503
0.588,56.4029148,56.5610739,56.67034361,56.40276777,56.40066767,60.18738822,64.20365394,57.93739795,46.27951452,54.59105813,52.68073335,41.0250928,39.63381253
0.59,56.29525045,56.45414282,56.56394952,56.2951105,56.29308501,60.06294631,64.06156887,57.97965824,46.47093389,54.49519737,52.59731752,40.83588717,39.35813649
0.592,56.18713548,56.34674852,56.45708318,56.18700226,56.18504876,59.93812792,63.91917906,58.02030231,46.66001209,54.39880909,52.51329311,40.64755223,39.08400895
0.594,56.07857793,56.23889916,56.34975282,56.07845112,56.07656707,59.81294078,63.77649217,58.05934498,46.84676679,54.30190183,52.42866918,40.46008397,38.81142198
0.596,55.96958577,56.13060282,56.24196662,55.96946506,55.96764801,59.68739254,63.63351578,58.09680097,47.03121555,54.20448407,52.34345473,40.27347842,38.54036769
0.598,55.86016689,56.02186752,56.13373266,55.86005199,55.85829958,59.56149079,63.4902574,58.13268485,47.21337582,54.10656418,52.25765867,40.08773161,38.27083821
0.6,55.75032912,55.91270118,56.02505897,55.75021975,55.74852969,59.43524302,63.34672443,58.16701112,47.39326491,54.0081505,52.17128983,39.9028396,38.00282575
0.602,55.64008021,55.80311168,55.91595348,55.6399761,55.63834619,59.30865668,63.2029242,58.19979415,47.57090004,53.90925124,52.08435696,39.71879846,37.73632252
0.604,55.52942782,55.69310679,55.80642406,55.52932872,55.52775684,59.18173913,63.05886398,58.23104821,47.74629828,53.80987457,51.99686872,39.53560428,37.47132077
0.606,55.41837957,55.58269424,55.69647851,55.41828524,55.41676934,59.05449767,62.91455093,58.26078746,47.91947661,53.71002858,51.90883372,39.35325318,37.20781282
0.608,55.30694298,55.47188166,55.58612455,55.30685319,55.30539128,58.9269395,62.76999215,58.28902597,48.09045187,53.60972127,51.82026046,39.17174129,36.945791
0.61,55.19512551,55.36067662,55.47536982,55.19504004,55.19363023,58.79907179,62.62519467,58.31577769,48.25924081,53.50896058,51.73115739,38.99106474,36.68524767
0.612,55.08293455,55.24908663,55.3642219,55.0828532,55.08149363,58.67090162,62.48016542,58.34105646,48.42586005,53.40775437,51.64153285,38.8112197,36.42617526
0.614,54.97037743,55.1371191,55.25268829,54.97029999,54.96898889,58.542436,62.33491128,58.36487602,48.5903261,53.30611044,51.55139514,38.63220236,36.1685662
0.616,54.85746139,55.0247814,55.14077644,54.85738767,54.85612333,58.41368187,62.18943904,58.38725003,48.75265536,53.20403649,51.46075247,38.45400891,35.91241299
0.618,54.74419361,54.91208082,55.0284937,54.74412345,54.7429042,58.28464611,62.04375542,58.40819201,48.91286411,53.10154017,51.36961296,38.27663557,35.65770814
0.62,54.63058121,54.79902457,54.91584736,54.63051443,54.62933868,58.15533553,61.89786707,58.42771542,49.07096852,52.99862906,51.27798467,38.10007856,35.40444422
0.622,54.51663124,54.68561981,54.80284466,54.51656767,54.51543388,58.02575687,61.75178057,58.44583358,49.22698467,52.89531066,51.18587559,37.92433415,35.15261381
